habitaciones;banos;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;ascensor;circuito_cerrado_tv;parqueadero_visitantes;porteria-recepcion;zonas_verdes;salon_comunal;balcon;barra_estilo_americano;calentador;chimenea;citofono;cocina_integral;terraza;vigilancia;parques_cercanos;estudio;patio;bodega;nombre;ubicacion;precio
2;1;1;52;52;4;Bueno;mas de 30 anos;†207000;†4038461,54;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Caobos salazar;210000000
2;2;1;61;0;4;Excelente;16 a 30 anos;†217000;†5573770,49;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;Apartamento;Gran America;340000000
5;3;2;260;260;4;No definida;mas de 30 anos;0;†3807692,31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;Casa;Modelia;990000000
4;5;4;200;0;5;Excelente;1 a 8 anos;†1000000;†4900000;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Cedritos;980000000
4;3;1;90;0;4;Bueno;mas de 30 anos;†369000;†4000000;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000
3;3;1;150;150;6;Bueno;mas de 30 anos;†872000;†6533333,33;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000
3;2;1;70;70;4;Excelente;16 a 30 anos;†211000;†4028571,43;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Casa;El Redil;282000000
3;2;1;74;74;4;No definida;16 a 30 anos;†285000;†4189189,19;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;60;60;3;Bueno;9 a 15 anos;†130000;†3800000;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Primavera Occidental;228000000
8;5;0;500;0;3;Excelente;9 a 15 anos;0;†3400000;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;Casa;Los Cerezos;1700000000
3;3;3;191;191;6;Excelente;mas de 30 anos;†960000;†7068062,83;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
2;2;1;67;57;4;No definida;16 a 30 anos;†650000;†4626865,67;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Apartamento;Bosque calderon;310000000
4;4;2;136;128;4;Excelente;1 a 8 anos;†410000;†6250000;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazuren;850000000
2;3;2;94;94;4;Excelente;menor a 1 ano;†530000;†5851063,83;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;1;78;78;4;No definida;1 a 8 anos;†274000;†5128205,13;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;Apartamento;sabaneta;400000000
3;2;0;95;9.353;4;Excelente;mas de 30 anos;†85000;†4052631,58;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Camp√≠n;385000000
3;1;0;49,41;49;3;Bueno;16 a 30 anos;†120000;†3804897,79;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;Apartamento;Ciudadela Colsubsidio;188000000
3;4;2;170;270;6;Excelente;16 a 30 anos;†1158000;†7588235,29;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa bibiana;1290000000
3;2;1;86;80;3;Excelente;1 a 8 anos;0;†3720930,23;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
12;5;0;375;320;3;Bueno;16 a 30 anos;0;†1493333,33;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000
6;4;3;218;0;4;Bueno;mas de 30 anos;0;†3027522,94;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normand√≠a;660000000
3;2;0;60;60;3;Bueno;16 a 30 anos;0;†2833333,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Villa de los Alpes;170000000
